"Nazwa firmy","Nazwa skrócona","Ulica, numer",Miasto,"Kod pocztowy","Osoby kontaktowe","Nowe województwo",Powiat,Gmina,"Stare województwo",Telefon(y),Fax(y),"Forma własności","Forma prawna",Email,WWW,Zatrudnienie,"Obrót roczny","Rok założenia","NACE (EKD)",SIC,"Opis działalności"
"Miejskie Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o.",,"Janowiecka 612",Wągrowiec,62-624,"dyr. mgr inż. Stanisław Ziółkowski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2662661,(67)2660166,komunalna,"spółka z o.o.",,,68,"6,000,000 zł.",1992,"
<span>41.01</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE4101%20pobor%20oczyszczanie%20i%20rozprowadzanie%20wody"">Pobór, oczyszczanie i rozprowadzanie wody</a>
<span>90.03</span>Usuwanie ścieków i nieczystości płynnych oraz ich oczyszczanie i utylizacja
","
<span>4941</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4941%20dostarczanie%20wody%20wodociagi"">Dostarczanie wody, wodociągi</a>
<span>4952</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4952%20odprowadzanie%20sciekow"">Odprowadzanie ścieków</a>
",
"WIELSPIN Wielkopolskie Zaplecze Rehabilitacyjno-Techniczne Spółdzielni Inwalidów - Ośrodek Rehabilitacyjno-Wypoczynkowy","WIELSPIN - Ośrodek Rehabilitacyjno-Wypoczynkowy","Jeziorna 12",Wągrowiec,62-234,"kier. Anna Maćkowiak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2690990 9629659",(67)2695798,prywatna,spółdzielnia,"<a title=""@wielspin.pl"">orw-wagrowiec</a>","
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.wielspiq.pl"">www.wielspiq.pl</a>
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.wieospin-wagrowlec.zpchr.pl"">www.wieospin-wagrowlec.zpchr.pl</a>
",60,,1975,"
<span>55.23</span>Miejsca sezonowego zakwaterowania (np. internaty)
<span>85.14.2</span>Fizjoterapeuci
","
<span>703299</span>Obozy sportowe i wypoczynkowe, osobno nie wymienione
<span>804902</span>Fizykoterapia
","


"
"Powszechna Kasa Oszczędności Bank Polski S.A. Oddział Wągrowiec","PKO BP S.A. Oddział Wągrowiec","Jeżyka 2a",Wągrowiec,62-513,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2620420,(67)2620425,"Skarb Państwa","spółka akcyjna",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.pkobp.pl"">www.pkobp.pl</a>",,,,"
<span>65.12</span>Banki komercyjne
<span>65.22</span>Udzielanie kredytów (innych niż pożyczki finansowe)
<span>65.21</span>Pożyczki finansowe
<span>67.12</span>Biura maklerskie
<span>67.13.1</span>Doradcy finansowi, doradcy w sprawach zastawów hipotecznych oraz maklerzy
","
<span>6029</span>Banki komercyjne, osobno nie wymienione
<span>6099</span>Działalność bankowa, osobno nie wymieniona
<span>6153</span>Udzielanie kredytów krótkoterminowych
<span>621101</span>Biura maklerskie
<span>6289</span>Obsługa obrotu papierami wartościowymi i towarami
","obsługa bankowa"
"Serwis Audio-Video Avis S.C.","Avis S.C.","Jeżyka 6a",Wągrowiec,62-954,"Roman Herman",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2690790,,prywatna,"spółka cywilna",,,3,,1990,"
<span>52.45.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52453%20sprzedaz%20detaliczna%20plyt%20i%20tasm%20z%20nagraniami%20muzycznymi%20i%20video"">Sprzedaż detaliczna płyt i taśm z nagraniami muzycznymi i video</a>
<span>52.45.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52452%20sprzedaz%20detaliczna%20sprzetu%20radiowo%20telewizyjnego"">Sprzedaż detaliczna sprzętu radiowo-telewizyjnego</a>
<span>52.72.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52721%20naprawy%20artykulow%20radiowo%20telewizyjnych"">Naprawy artykułów radiowo-telewizyjnych</a>
","
<span>5735</span>Sklepy z płytami i nagraniami audio i video
<span>506503</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC506503%20czesci%20elektroniczne%20hurt"">Części elektroniczne, hurt</a>
<span>762203</span>Naprawy domowego sprzętu elektronicznego
",
"Powszechny Zakład Ubezpieczeń S.A. - Inspektorat w Wągrowcu","PZU S.A. - Inspektorat w Wągrowcu","Jeżyka 7a",Wągrowiec,62-733,"dyr. Jan Guździoł",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2681586 (808)182182",(67)2681586,"Skarb Państwa","spółka akcyjna","<a title=""@pzu.pl"">poczta</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.pzu.pl"">www.pzu.pl</a>",30,,1803,"<span>66.03</span>Ubezpieczenia rzeczowe","<span>6331</span>Ubezpieczenia mienia, transportowe, morskie",
"Prokuratura Rejonowa w Wągrowcu",,"Jeżyka 7a",Wągrowiec,62-512,"prokurator rejonowy Tomasz Ziewiec",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2610311,(67)2610311,"Skarb Państwa","sąd lub trybunał","<a title=""@ppznan.po.gov.pl"">wagrowiec</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.ppznan.po.gov.pl"">www.ppznan.po.gov.pl</a>",,,,"<span>75.23.2</span>Prokuratura i adwokatura (finansowana przez rząd)",<span>922201</span>Prokuratura,
"Naprawa Obuwia",,"Jeżyka 10",Wągrowiec,62-953,"Jerzy Gapiński",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2654455,,prywatna,"zakład prywatny bez formy prawnej",,,1,"50,000 zł.",1981,"<span>52.71.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52711%20naprawy%20obuwia"">Naprawy obuwia</a>","<span>725101</span>Naprawa obuwia",
"Tłumacz Przysięgły Języka Francuskiego",,"Jeżyka 18/5",Wągrowiec,62-844,"Wiktoria Wierzbińska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(608)464069,,prywatna,"zakład prywatny bez formy prawnej",,,,,,<span>74.83.5</span>Tłumaczenia,"<span>733899</span>Usługi sekretarskie, protokolanckie, osobno nie wymienione",
"Zakład Fryzjerski",,"Jeżyka 26",Wągrowiec,62-012,"Aleksandra John",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2873379,,prywatna,"zakład prywatny bez formy prawnej",,,2,,,<span>93.02.1</span>Fryzjerstwo,"<span>7241</span>Salony fryzjerskie",fryzjerstwo
"Zakład Fryzjerski",,"Jeżyka 26",Wągrowiec,62-623,"Dorota Wiśniewska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2652358,,prywatna,"zakład prywatny bez formy prawnej",,,1,,1989,<span>93.02.1</span>Fryzjerstwo,"<span>7241</span>Salony fryzjerskie","
fryzjerstwo

"
"Zakład Fryzjerski",,"Jeżyka 26",Wągrowiec,62-343,"Irena Bartoś",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2650453,,prywatna,"zakład prywatny bez formy prawnej",,,1,,1989,<span>93.02.1</span>Fryzjerstwo,"<span>7241</span>Salony fryzjerskie","
fryzjerstwo

"
"Sklep Chemiczno-Drogeryjny",,"Jeżyka 48",Wągrowiec,62-513,"Wojciech Rybak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2623527,,prywatna,"zakład prywatny bez formy prawnej",,,3,,1990,"
<span>52.33</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5233%20sprzedaz%20detaliczna%20kosmetykow%20i%20artykulow%20toaletowych%20i%20srodkow%20czystosci%20chemii%20gospodarczej"">Sprzedaż detaliczna kosmetyków i artykułów toaletowych i środków czystości (chemii gospodarczej)</a>
<span>52.46.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52462%20sprzedaz%20detaliczna%20farb%20politury%20lakierow"">Sprzedaż detaliczna farb, politury, lakierów</a>
","
<span>599913</span>Kosmetyki i przybory toaletowe, handel detaliczny
<span>523102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC523102%20farby%20wyposazenie%20malarskie%20handel%20detaliczny"">Farby, wyposażenie malarskie, handel detaliczny</a>
","
chemia gospodarcza, kosmetyki
farby, lakiery
"
"Sklep Ogólnospożywczy Mięsno-Wędliniarski",,"Jeżyka 48",Wągrowiec,62-622,"Mariola Kuczyńska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2677075,,prywatna,"zakład prywatny bez formy prawnej",,,5,,1996,"
<span>52.22</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5222%20sprzedaz%20detaliczna%20miesa%20i%20wyrobow%20miesnych"">Sprzedaż detaliczna mięsa i wyrobów mięsnych</a>
<span>52.27</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5227%20sklepy%20spozywcze"">Sklepy spożywcze</a>
","
<span>542102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC542102%20mieso%20swieze%20i%20mrozone%20handel%20detaliczny"">Mięso świeże i mrożone, handel detaliczny</a>
<span>541199</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC541199%20sklepy%20spozywcze%20osobno%20nie%20wymienione"">Sklepy spożywcze, osobno nie wymienione</a>
","


"
"Pizzeria Pico-Bello",,"Jeżyka 50",Wągrowiec,62-013,"Mariusz Jankowski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2621221,,prywatna,"zakład prywatny bez formy prawnej",,,5,,,"<span>55.41</span>Jadłodajnie, bary uniwersalne, szybkiej obsługi, przekąskowe, mleczne, bistra",<span>581206</span>Pizzerie,
"Spółdzielnia Mieszkaniowa w Wągrowcu",,"Jeżyka 50",Wągrowiec,62-452,"prez. mgr inż. Tadeusz Marach",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2641046-47,(67)2642146,prywatna,spółdzielnia,"<a title=""@zis.com.pl"">smwagrawjec</a>",,,,1949,"
<span>70.32</span>Zarządzanie nieruchomościami na zasadzie bezpośredniej płatności lub kontraktu
<span>45.21.11</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE452111%20roboty%20ogolnobudowlane%20w%20budynkach%20mieszkalnych"">Roboty ogólnobudowlane w budynkach mieszkalnych</a>
","
<span>6513</span>Administrowanie budynkami mieszkalnymi
<span>1522</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC1522%20budowa%20budynkow%20mieszkalnych%20z%20wyj%20domow"">Budowa budynków mieszkalnych z wyj. domów</a>
","
zarządzanie nieruchomościami
budownictwo mieszkaniowe
"
"Miejskie Przedsiębiorstwo Energetyki Cieplnej Sp. z o.o. w Wągrowcu","MPEC Sp. z o.o. w Wągrowcu","Jeżyka 52",Wągrowiec,62-342,"prez. Paweł Borowski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2675071-72 7627867",(67)2675072,komunalna,"spółka z o.o.","<a title=""@wagsowiec.com.pl"">mpec</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.wagsowiec.com.pl"">www.wagsowiec.com.pl</a>",,,1991,"
<span>40.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE403%20wytwarzanie%20i%20dystrybucja%20pary%20wodnej%20i%20goracej%20wody"">Wytwarzanie i dystrybucja pary wodnej i gorącej wody</a>
<span>45.33.31</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE453331%20zakladanie%20przewodow%20i%20urzadzen%20grzewczych"">Zakładanie przewodów i urządzeń grzewczych</a>
","
<span>4961</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4961%20dostarczanie%20ciepla%20%20para%20woda"">Dostarczanie ciepła - para, woda</a>
<span>769903</span>Naprawa bojlerów i instalacji ogrzewania
","
produkcja, przesyłanie, sprzedaż energii cieplnej
remont: sieci, węzłów, źródeł
"
"Stol Płyt",,"Kalinowa 2",Wągrowiec,62-013,"Bogdan Maciejewski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2681780,,prywatna,"zakład prywatny bez formy prawnej",,,1,,1976,"<span>36.13</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE3613%20produkcja%20roznych%20mebli%20kuchennych"">Produkcja różnych mebli kuchennych</a>","<span>251102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC251102%20meble%20drewniane%20kuchenne%20i%20do%20jadalni%20produkcja"">Meble drewniane kuchenne i do jadalni, produkcja</a>","


"
"Zakład Betoniarski",,"Kaliska 14",Wągrowiec,62-514,"Wacław Dubrownik",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2666565,,prywatna,"zakład prywatny bez formy prawnej",,,5,,1974,"<span>26.61.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE26611%20produkcja%20cegiel%20z%20betonu%20lub%20ze%20sztucznego%20kamienia"">Produkcja cegieł z betonu lub ze sztucznego kamienia</a>","
<span>3271</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC3271%20plyty%20i%20pustaki%20betonowe%20produkcja"">Płyty i pustaki betonowe, produkcja</a>
<span>3272</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC3272%20produkty%20z%20betonu%20produkcja"">Produkty z betonu, produkcja</a>
","
cegły, pustaki

"
"Ośrodek Wypoczynkowy OAZA","OW OAZA","Kamienica 11",Wągrowiec,62-452,"Zygmunt Zimowski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(601)418212,,prywatna,"zakład prywatny bez formy prawnej","<a title=""@pw-oaza.com.pl"">biuro</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.pw-oaza.com.pl"">www.pw-oaza.com.pl</a>",,,,"
<span>55.23</span>Miejsca sezonowego zakwaterowania (np. internaty)
<span>71.45</span>Wypożyczanie rowerów i sprzętu sportowego
","
<span>7032</span>Obozy sportowe i wypoczynkowe
<span>701102</span>Pokoje do wynajęcia
<span>799905</span>Wypożyczalnie rowerów i motocykli
","
windsurfing, kort tenisowy, boisko do siatkówki plażowej
stół bilardowy, stół do tenisa stołowego, miejsce na ognisko
wypożyczalnia rowerów
"
"SCAPR Polska Sp. z o.o. - Sklep Intermarche",,"Kasprowicza 45",Wągrowiec,62-124,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2695298,,prywatna,"spółka z o.o.",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.inthrmarche.pl"">www.inthrmarche.pl</a>",,,1997,"<span>52.11</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5211%20sprzedaz%20detaliczna%20w%20nie%20wyspecjalizowanych%20sklepach%20z%20przewaga%20zywnosci%20napojow%20i%20wyrobow%20tytoniowych"">Sprzedaż detaliczna w nie wyspecjalizowanych sklepach z przewagą żywności, napojów i wyrobów tytoniowych</a>","<span>541101</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC541101%20duze%20sklepy%20spozywcze%20samoobslugowe%20supermarkety"">Duże sklepy spożywcze samoobsługowe (supermarkety)</a>",
"Przedsiębiorstwo Handlowo-Usługowe Colambia J. Stępak - Biuro","PHU Colambia - Biuro","Kasprowicza 12",Wągrowiec,62-513,"Janusz Stępak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2625126,(67)2625123,prywatna,"zakład prywatny bez formy prawnej","<a title=""@pkerrearthes.com"">biuro</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.pkerrearthes.com"">www.pkerrearthes.com</a>",,,1995,"<span>24.52</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2452%20produkcja%20wyrobow%20kosmetycznych%20i%20toaletowych"">Produkcja wyrobów kosmetycznych i toaletowych</a>","<span>2844</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC2844%20kosmetyki%20srodki%20toaletowe%20produkcja"">Kosmetyki, środki toaletowe, produkcja</a>","kosmetyki marki Pierre Arthes"
"Zakład Fryzjerski",,"Kasprowicza 12",Wągrowiec,62-233,"Maria Makiej",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2621922,,prywatna,"zakład prywatny bez formy prawnej",,,2,,,<span>93.02.1</span>Fryzjerstwo,"<span>7241</span>Salony fryzjerskie",
"Wągrowieckie Fabryki Mebli Sp. z o.o. - Sklep Firmowy","WFM Sp. z o.o. - Sklep Firmowy","Kcyńska 25",Wągrowiec,62-343,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2650651,,prywatna,"spółka z o.o.","<a title=""@pro.onet.pl"">wfmse</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.wfm.net.pl"">www.wfm.net.pl</a>",,,,"<span>52.44.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52441%20sprzedaz%20detaliczna%20mebli%20i%20umeblowania"">Sprzedaż detaliczna mebli i umeblowania</a>","<span>5712</span>Sklepy meblowe",
"Wągrowieckie Fabryki Mebli Sp. z o.o.","WFM Sp. z o.o.","Kcyńska 22",Wągrowiec,62-342,"Andrzej Surmacz",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2640641 4684654",(67)2640644,prywatna,"spółka z o.o.","<a title=""@pro.onet.pl"">wfmsd</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.wfm.net.pl"">www.wfm.net.pl</a>",,,,"
<span>36.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE361%20produkcja%20mebli"">Produkcja mebli</a>
<span>36.14</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE3614%20produkcja%20do%20sypialni%20lazienek%20pokoi%20goscinnych%20ogrodow%20wykanczanie%20mebli"">Produkcja do sypialni, łazienek, pokoi gościnnych, ogrodów; wykańczanie mebli</a>
<span>36.11</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE3611%20produkcja%20krzesel%20i%20siedzen"">Produkcja krzeseł i siedzeń</a>
","<span>251201</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC251201%20krzesla%20fotele%20sofy%20drewniane%20tapicerowane%20produkcja"">Krzesła, fotele, sofy drewniane tapicerowane, produkcja</a>","


"
"Myskal Sp. z o.o. Specjalistyczne Wyroby i Usługi Przemysłowe","Myskal Sp. z o.o.","Kcyńska 31",Wągrowiec,62-454,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2632231-33 (603)132930",(67)2630432,prywatna,"spółka z o.o.","<a title=""@myskal.pl"">myskal</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.myskal.pl"">www.myskal.pl</a>",,,1965,"
<span>28.11</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2811%20produkcja%20konstrukcji%20metalowych%20i%20ich%20czesci"">Produkcja konstrukcji metalowych i ich części</a>
<span>29.12</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2912%20produkcja%20pomp%20i%20sprezarek"">Produkcja pomp i sprężarek</a>
<span>29.13</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2913%20produkcja%20kurkow%20i%20zaworow"">Produkcja kurków i zaworów</a>
<span>29.14</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2914%20produkcja%20lozysk%20kol%20zebatych%20przekladni%20zebatych%20i%20elementow%20napedowych"">Produkcja łożysk, kół zębatych, przekładni zębatych i elementów napędowych</a>
<span>45.25.4</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45254%20montowanie%20i%20spawanie%20konstrukcji%20stalowych"">Montowanie i spawanie konstrukcji stalowych</a>
","
<span>3491</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC3491%20zawory%20przemyslowe%20produkcja"">Zawory przemysłowe, produkcja</a>
<span>344999</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC344999%20roznorodne%20metalowe%20elementy%20konstrukcyjne%20osobno%20nie%20wymienione%20produkcja"">Różnorodne metalowe elementy konstrukcyjne, osobno nie wymienione, produkcja</a>
<span>3568</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC3568%20przekladnie%20mechaniczne%20produkcja"">Przekładnie mechaniczne, produkcja</a>
<span>769905</span>Serwis wyposażenia przemysłowego
<span>1791</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC1791%20wznoszenie%20konstrukcji%20stalowych"">Wznoszenie konstrukcji stalowych</a>
","
produkcja zaworów, siłowników hydraulicznych, koła pasowe, zębate, łańcuchowe
konstrukcje stalowe
remonty maszyn
montaż maszyn i urządzeń
"
"Sprzedaż Części Samochodowych",,"Kcyńska 42",Wągrowiec,62-343,"Piotr Maćkiewicz",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2685889,(67)2685889,prywatna,"zakład prywatny bez formy prawnej",,,5,,1999,"<span>50.31</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5031%20sprzedaz%20hurtowa%20i%20detaliczna%20czesci%20i%20akcesoriow%20do%20pojazdow%20mechanicznych"">Sprzedaż hurtowa i detaliczna części i akcesoriów do pojazdów mechanicznych</a>","<span>553199</span>Części i wyposażenie samochodowe, osobno nie wymienione, handel detaliczny",
"Zespół Szkół Ponadgimnazjalnych nr 1",,"Kcyńska 41",Wągrowiec,62-344,"dyr. Jarosław Berendt",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2690198 9629229","(67)2690198 9629229",komunalna,"wspólnota samorządowa","
<a title=""@post.pl"">zsp1wdgrowiec</a>
<a title=""@giganci.pl"">sekretaridt</a>
","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.giganci.pl"">www.giganci.pl</a>",,,,"
<span>80.22.2</span>Licea i technika zawodowe
<span>80.22.1</span>Zasadnicze szkoły zawodowe (młodzieżowe i przyzakładowe)
<span>80.22.5</span>Szkoły zawodowe specjalne
<span>80.21.1</span>Licea ogólnokształcące
<span>80.32</span>Policealne studia zawodowe i nauczycielskie kolegia języków obcych
","
<span>8222</span>Szkoły pomaturalne i technika
<span>8249</span>Szkoły o profilu zawodowym
<span>821104</span>Szkolnictwo specjalne
<span>821103</span>Szkoły podstawowe i średnie publiczne
","
Liceum Profilowane
Zasadnicza Szkoła Zawodowa, Zasadnicza Szkoła Zawodowa Specjalna
Średnia Szkoła Zawodowa, Szkoła Policealna
Liceum Ogólnokształcące
Technikum, Technikum Uzupełniające
"
"Studio Komputerowe",,"Kcyńska 55a",Wągrowiec,62-843,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2654750,(67)2654750,prywatna,"zakład prywatny bez formy prawnej","
<a title=""@com-plus.pl"">it</a>
<a title=""@com-plus.pl"">pogqtowie</a>
","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.phu-opta.pl"">www.phu-opta.pl</a>",,,,"
<span>72.2</span>Doradztwo w zakresie oprogramowania i dostarczanie oprogramowania
<span>72.6</span>Działalność związana z informatyką
<span>45.31.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45311%20okablowanie%20i%20instalacja%20wyposazenia%20elektrycznego%20i%20aparatury%20elektrycznej"">Okablowanie i instalacja wyposażenia elektrycznego i aparatury elektrycznej</a>
","
<span>7373</span>Komputeryzacja firm i instytucji
<span>173102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC173102%20montaz%20elektronicznych%20urzadzen%20kontrolnych"">Montaż elektronicznych urządzeń kontrolnych</a>
","
systemy okablowanie strukturalnego
sieciowe systemy informatyczne
zabezpieczenia systemów teleinformatycznych

"
"Auto Styl - Twaróg",,"Kcyńska 52",Wągrowiec,62-342,"Leszek Twaróg",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2645448 4684484 (409)474774",(67)2645448,prywatna,"zakład prywatny bez formy prawnej","<a title=""@neostrada.pl"">autostylsalon</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.auto-suyl.gratka.pl"">www.auto-suyl.gratka.pl</a>",,,,"<span>50.11.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE50112%20sprzedaz%20detaliczna%20pojazdow%20uzywanych"">Sprzedaż detaliczna pojazdów używanych</a>","<span>5521</span>Handel detaliczny używanymi pojazdami mechanicznymi","komis samochodowy"
"Nagłaśnianie Pomieszczeń i Terenów Otwartych Auto-Reklamy",,"Kcyńska 62",Wągrowiec,62-342,"Borysław Zwolenkiewicz",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2640947 (604)540244",(67)2640947,prywatna,"zakład prywatny bez formy prawnej",,,1,,1975,"<span>92.34.11</span>Organizowanie imprez rozrywkowych, np. kabaretowych, satyrycznych","
<span>799910</span>Organizacja wystaw i imprez masowych
<span>735905</span>Wypożyczanie i dzierżawa sprzętu elektronicznego
","
nagłaśnianie imprez okolicznościowych

"
"Przedsiębiorstwo Wielobranżowe",,"Kcyńska 62",Wągrowiec,62-453,"Piotr Nowak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2684488,(67)2684488,prywatna,"zakład prywatny bez formy prawnej",,,3,,1995,"
<span>51.53.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51532%20sprzedaz%20hurtowa%20niedrewnianych%20materialow%20budowlanych"">Sprzedaż hurtowa niedrewnianych materiałów budowlanych</a>
<span>52.46.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52462%20sprzedaz%20detaliczna%20farb%20politury%20lakierow"">Sprzedaż detaliczna farb, politury, lakierów</a>
<span>51.54.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51542%20sprzedaz%20hurtowa%20sprzetu%20i%20wyposazenia%20hydraulicznego"">Sprzedaż hurtowa sprzętu i wyposażenia hydraulicznego</a>
","
<span>521103</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC521103%20materialy%20instalacyjne%20i%20konserwacyjne%20handel%20detaliczny"">Materiały instalacyjne i konserwacyjne, handel detaliczny</a>
<span>521105</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC521105%20materialy%20i%20wyposazenie%20murarskie%20handel%20detaliczny"">Materiały i wyposażenie murarskie, handel detaliczny</a>
<span>523102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC523102%20farby%20wyposazenie%20malarskie%20handel%20detaliczny"">Farby, wyposażenie malarskie, handel detaliczny</a>
","
wyposażenie hydrauliczne
farby, lakiery
materiały budowlane

"
